distinct_words,count,rows_where_prediction_is_not_none
hawaiian ginger,1,
"musky, fruity",1,
"amber, woody",1,
"coconut, pineapple",1,
"almond, cherry",1,
"flowery, spicy",1,
"lavender, mint, floral",1,
"lime, vanilla",1,
"apple, orange",1,
"citrusy, florally",1,
"lavender, floral",1,
"musky, florally, woodsy",1,
"herbal, mint",1,
"citrus, orange",4,
"linens, lilies",1,
"peach, ginger",1,
"chypre, oriental, floral",1,
"flower, cranberry, orange",1,
"berry, apple, mango",1,
"woody, balsamic",1,
"lime, bergamot",1,
"pine, woods",1,
"amber, sandalwood",1,
"ginger, lemon",1,
"flower, flowery",1,
"fougere, aquatic",1,
"cedar, lavender",1,
wild berry,1,
"amber, aquatic",1,
"pink rose, floral",1,
"spring rain, jasmine, rain",1,
"chamomile, lemon",1,
"strawberry, rose, green apple, new car, orange, jasmine, vanilla",1,
"fruity, leather",1,
"eucalyptus, lemon",1,
"mint, floral",1,
"sandalwood, musk",1,
"coconut, lime",1,
"citrus, oriental",2,
"woody, oriental, leathery",1,
"lavender, rose",1,
"spicy, oriental, floral",1,
"musky, woodsy",1,
"jasmine, mint",1,
"fruity, woody",1,
"oriental, flowery",1,
balsamic,1,
"tropical, coconut",1,
